id,date,theme,text,category,summary,sentiment,severity,churn_risk,root_cause,recommendation
467,2025-01-01,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Надеюсь, вопрос получится быстро решить.",Поддержка,Отсутствие ответа в поддержке,negative,2,medium,Отсутствие ответа в поддержке,Увеличить частоту ответов в поддержке
95,2025-01-02,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Очень недоволен этой ситуацией.",Возвраты,Сложность оформления возврата,negative,2,medium,не понимает как оформить возврат,Упростить процесс оформления возврата
647,2025-01-02,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет,Проблема отсутствия истории заказов,negative,2,low,,Проверить базу данных заказов
735,2025-01-03,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена,Скидка не применилась при оформлении заказа,negative,2,medium,неизвестно,Проверить условия применения скидки
913,2025-01-04,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена,Неправильная цена в корзине,negative,2,low,,Проверить синхронизацию цен в корзине
915,2025-01-05,Чек,Не получил электронный чек после покупки. Поддержка тоже не помогла.,Документы,Отсутствие электронного чека после покупки,negative,2,low,,Проверить автоматическую отправку чеков
859,2025-01-05,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Хотелось бы понять, что делать дальше.",Поддержка,Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
88,2025-01-05,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Если вопрос не решится, больше у вас покупать не буду.",Мобильное приложение,"Текст короткий и понятный, но нужно убрать лишнее. В тексте клиент говорит, что товар исчезает из корзины после добавления. Нужно создать название проблемы в 3-7 словах без слов 'клиент', 'пользователь', 'человек'. Примеры: 'Ошибка оплаты банковской картой' — 4 слова, 'Сложность оформления возврата' — 4 слова, 'Проблема поиска адреса доставки' — ... В данном случае проблема — товар исчезает из корзины после добавления. Можно назвать как 'Товар исчезает из корзины' — 5 слов. Но нужно проверить, не слишком ли длинно. Или 'Проблема добавления товара в корзину' — 5 слов. Но в примерах использованы краткие формулировки. В примере 'Ошибка оплаты банковской картой' — это проблема с оплатой, а здесь проблема с добавлением товара в корзину. Возможно, лучше 'Товар исчезает после добавления в корзину' — 6 слов. Но в тексте клиент говорит ",negative,5,high,,Проверить логику добавления товара в корзину
889,2025-01-06,Курьер,Курьер не приехал в назначенное время и не позвонил. Прошу помочь разобраться.,Доставка,Отсутствие уведомления о доставке,negative,2,low,Отсутствие уведомления курьера,Установить автоматизированное уведомление о доставке
872,2025-01-07,Счет,Не могу получить счет на заказ.,Документы,Отсутствие счета на заказ,negative,2,low,,Ускорить генерацию счетов
209,2025-01-07,Долгое ожидание,"Очень долго ждал ответа оператора. Хотелось бы понять, что делать дальше.",Поддержка,Долгое ожидание ответа,negative,2,low,,Увеличить лимит одновременных консультаций
