category,theme,text,summary,sentiment,severity,churn_risk,root_cause,recommendation
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Это уже не первый раз.",Ошибка оплаты банковской картой,negative,3,medium,,Проверить интеграцию банковской карты
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Проблема поиска адреса доставки,negative,2,low,,Проверить точность данных в системе доставки
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения.,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Документы,Документы,"В документах к заказу указаны неверные данные. Если вопрос не решится, больше у вас покупать не буду.",Неверные данные в документах,negative,5,high,,Проверить данные в документах заказа
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Если вопрос не решится, больше у вас покупать не буду.",Сложность оформления возврата,negative,5,high,Неясность процесса возврата,Упростить процесс оформления возврата
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа.,Скидка не применилась при оформлении заказа,negative,2,medium,неизвестно,Проверить условия применения скидки
Документы,Чек,Не получил электронный чек после покупки.,Отсутствие электронного чека после покупки,negative,2,low,,Уведомлять о чеке после оплаты
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Поддержка тоже не помогла.,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Очень недоволен этой ситуацией.,Недовольство переключением между отделами,negative,3,medium,недостаточная координация между отделами,Улучшить процесс переключения между отделами
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Это уже не первый раз.,Бонусные баллы исчезли,negative,3,medium,,Проверить систему учета баллов
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться.,Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления приложения
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Поддержка тоже не помогла.,Задержка доставки,negative,3,medium,,Ускорить обработку заказов
